opportunity_id,account_id,account_name,segment,industry,account_region,rep_id,rep_name,lead_source,stage,amount,created_date,close_date,fiscal_quarter,is_won,is_closed,sales_cycle_days,won_amount,lost_amount,open_pipeline_amount
O00001,A0255,Account 0255,SMB,Energy,East,R012,Devon Costa,Event,Closed Won,3700.0,2025-02-09,2025-03-27,2025-Q1,true,true,46,3700.0,0.0,0.0
O00002,A0179,Account 0179,SMB,Education,East,R002,Jordan Patel,Inbound,Closed Lost,11300.0,2025-02-18,2025-04-01,2025-Q2,false,true,42,0.0,11300.0,0.0
O00003,A0105,Account 0105,Mid-Market,Healthcare,Central,R004,Cameron Cohen,Inbound,Closed Lost,21800.0,2024-05-04,2024-06-19,2024-Q2,false,true,46,0.0,21800.0,0.0
O00004,A0203,Account 0203,SMB,Education,West,R015,Rowan Andersen,Outbound,Closed Lost,12500.0,2025-01-16,2025-03-14,2025-Q1,false,true,57,0.0,12500.0,0.0
O00005,A0266,Account 0266,SMB,Technology,East,R005,Morgan Okafor,Event,Closed Lost,6000.0,2024-01-23,2024-02-10,2024-Q1,false,true,18,0.0,6000.0,0.0
O00006,A0095,Account 0095,SMB,Education,Central,R012,Devon Costa,Referral,Closed Won,17100.0,2024-05-05,2024-05-21,2024-Q2,true,true,16,17100.0,0.0,0.0
O00007,A0444,Account 0444,SMB,Healthcare,East,R015,Rowan Andersen,Outbound,Closed Lost,8700.0,2025-05-23,2025-06-07,2025-Q2,false,true,15,0.0,8700.0,0.0
O00008,A0192,Account 0192,Mid-Market,Logistics,East,R007,Casey Rossi,Outbound,Closed Won,72800.0,2024-10-13,2025-01-23,2025-Q1,true,true,102,72800.0,0.0,0.0
O00009,A0252,Account 0252,SMB,Manufacturing,East,R024,Wren Park,Inbound,Closed Lost,9200.0,2024-10-29,2024-12-13,2024-Q4,false,true,45,0.0,9200.0,0.0
O00010,A0287,Account 0287,Mid-Market,Education,West,R013,Hayden Novak,Outbound,Closed Lost,30400.0,2024-05-20,2024-08-26,2024-Q3,false,true,98,0.0,30400.0,0.0
O00011,A0557,Account 0557,Enterprise,Retail,East,R017,Parker Schmidt,Outbound,Closed Lost,233500.0,2025-01-26,2025-07-26,2025-Q3,false,true,181,0.0,233500.0,0.0
O00012,A0580,Account 0580,Enterprise,Education,Central,R020,Elliot Mori,Inbound,Closed Lost,137500.0,2025-02-01,2025-07-10,2025-Q3,false,true,159,0.0,137500.0,0.0
O00013,A0288,Account 0288,Enterprise,Energy,East,R017,Parker Schmidt,Inbound,Closed Lost,194400.0,2025-04-28,2025-12-09,2025-Q4,false,true,225,0.0,194400.0,0.0
O00014,A0164,Account 0164,Mid-Market,Manufacturing,Central,R003,Riley Garcia,Referral,Closed Lost,34500.0,2024-09-10,2024-11-24,2024-Q4,false,true,75,0.0,34500.0,0.0
O00015,A0058,Account 0058,SMB,Healthcare,Central,R009,Drew Mbeki,Event,Closed Lost,8300.0,2025-08-12,2025-09-19,2025-Q3,false,true,38,0.0,8300.0,0.0
O00016,A0181,Account 0181,SMB,Logistics,East,R009,Drew Mbeki,Referral,Closed Lost,15100.0,2025-08-29,2025-10-02,2025-Q4,false,true,34,0.0,15100.0,0.0
O00017,A0029,Account 0029,SMB,Manufacturing,Central,R012,Devon Costa,Event,Closed Lost,5100.0,2025-08-04,2025-09-23,2025-Q3,false,true,50,0.0,5100.0,0.0
O00018,A0505,Account 0505,SMB,Education,West,R021,Marlowe Silva,Inbound,Closed Won,10400.0,2024-11-12,2024-12-07,2024-Q4,true,true,25,10400.0,0.0,0.0
O00019,A0225,Account 0225,Enterprise,Logistics,East,R017,Parker Schmidt,Partner,Prospecting,80200.0,2025-06-23,,2025-Q2,false,false,,0.0,0.0,80200.0
O00020,A0332,Account 0332,Enterprise,Retail,Central,R017,Parker Schmidt,Event,Closed Lost,267700.0,2024-01-23,2024-05-29,2024-Q2,false,true,127,0.0,267700.0,0.0
O00021,A0539,Account 0539,Enterprise,Healthcare,West,R020,Elliot Mori,Outbound,Closed Lost,305500.0,2024-03-15,2024-09-16,2024-Q3,false,true,185,0.0,305500.0,0.0
O00022,A0345,Account 0345,Enterprise,Education,West,R020,Elliot Mori,Outbound,Closed Lost,392300.0,2024-11-26,2025-03-30,2025-Q1,false,true,124,0.0,392300.0,0.0
