rep_id,rep_name,fiscal_quarter,quota_amount,won_amount,closed_opps,won_opps,win_rate,quota_attainment,avg_won_cycle_days,hit_quota
R012,Devon Costa,2024-Q2,135000.0,93400.0,21,8,0.381,0.692,38.9,false
R024,Wren Park,2024-Q4,96000.0,66600.0,22,6,0.273,0.694,36.8,false
R020,Elliot Mori,2024-Q3,2663000.0,2571100.0,24,10,0.417,0.965,143.9,false
R010,Reese Dubois,2025-Q3,224000.0,324200.0,10,5,0.5,1.447,74.0,true
R023,Tatum Adeyemi,2024-Q3,163000.0,123900.0,12,3,0.25,0.76,88.3,false
R011,Sky Haddad,2024-Q3,90000.0,105300.0,24,9,0.375,1.17,40.0,true
R004,Cameron Cohen,2025-Q4,140000.0,127700.0,7,3,0.429,0.912,89.0,false
R002,Jordan Patel,2025-Q4,65000.0,69500.0,17,6,0.353,1.069,35.3,true
R008,Quinn Kim,2024-Q1,60000.0,40100.0,19,4,0.211,0.668,35.3,false
R009,Drew Mbeki,2024-Q1,60000.0,29000.0,10,3,0.3,0.483,21.7,false
R014,Emerson Ibrahim,2025-Q4,140000.0,69800.0,7,1,0.143,0.499,66.0,false
R001,Avery Nguyen,2025-Q2,172000.0,176400.0,11,4,0.364,1.026,62.8,true
R003,Riley Garcia,2024-Q1,140000.0,0.0,2,0,0.0,0.0,,false
R012,Devon Costa,2025-Q3,66000.0,77800.0,22,7,0.318,1.179,46.1,true
R010,Reese Dubois,2024-Q2,153000.0,150700.0,14,3,0.214,0.985,79.3,false
R015,Rowan Andersen,2024-Q3,161000.0,156200.0,31,13,0.419,0.97,38.7,false
R018,Sawyer Walsh,2024-Q3,141000.0,111000.0,28,11,0.393,0.787,36.5,false
R005,Morgan Okafor,2024-Q3,60000.0,67600.0,26,7,0.269,1.127,35.6,true
R007,Casey Rossi,2024-Q3,200000.0,192600.0,8,4,0.5,0.963,89.3,false
R022,Shay Volkov,2024-Q1,60000.0,37800.0,13,4,0.308,0.63,30.0,false
R013,Hayden Novak,2025-Q2,295000.0,205500.0,11,4,0.364,0.697,72.3,false
R002,Jordan Patel,2024-Q4,304000.0,121800.0,25,11,0.44,0.401,36.2,false
R014,Emerson Ibrahim,2024-Q4,289000.0,242600.0,12,5,0.417,0.839,82.0,false
R024,Wren Park,2025-Q4,60000.0,14100.0,12,1,0.083,0.235,59.0,false
R004,Cameron Cohen,2024-Q4,265000.0,220100.0,14,4,0.286,0.831,62.0,false
R004,Cameron Cohen,2024-Q2,140000.0,44500.0,11,1,0.091,0.318,105.0,false
R005,Morgan Okafor,2024-Q1,60000.0,30900.0,10,2,0.2,0.515,18.5,false
R017,Parker Schmidt,2025-Q1,828000.0,889300.0,34,5,0.147,1.074,187.2,true
R015,Rowan Andersen,2024-Q1,60000.0,61300.0,16,6,0.375,1.022,26.8,true
R002,Jordan Patel,2024-Q2,142000.0,109500.0,21,10,0.476,0.771,34.8,false
R024,Wren Park,2025-Q3,86000.0,109600.0,28,10,0.357,1.274,29.4,true
R019,Blake Fischer,2025-Q2,271000.0,319600.0,17,5,0.294,1.179,65.8,true
R018,Sawyer Walsh,2024-Q1,75000.0,85200.0,16,7,0.438,1.136,28.3,true
